Vocabulary,Total Counts,02036_01.pdf,21019.pdf,96001_01.pdf
"""",166,124,18,24
$,4,1,0,3
%,1,1,0,0
',16,14,0,2
's,33,24,4,5
",",864,630,100,134
-,26,20,6,0
-lrb-,1282,996,151,135
-rrb-,1281,995,151,135
.,266,196,38,32
000,3,0,0,3
1,243,181,31,31
1.1,8,8,0,0
1.2,1,1,0,0
10,14,5,3,6
11,15,6,6,3
11.1,4,4,0,0
11.2,2,2,0,0
114,1,1,0,0
116,2,2,0,0
117,3,3,0,0
12,10,2,5,3
122,4,4,0,0
123,4,4,0,0
13,7,2,2,3
14,11,4,4,3
15,9,4,3,2
16,7,3,2,2
160,1,0,0,1
17,13,9,4,0
17.1,2,2,0,0
18,7,5,2,0
18.1,4,4,0,0
19,7,3,4,0
19.1,1,1,0,0
1960,1,1,0,0
1972,4,4,0,0
1982,2,2,0,0
1996,3,2,0,1
1999,1,1,0,0
2,156,111,25,20
2.1,1,1,0,0
20,11,8,2,1
20.1,10,10,0,0
20.2,3,3,0,0
20.3,6,6,0,0
2002,2,2,0,0
2002-36-62,1,1,0,0
2004-45-65,1,1,0,0
2014,4,4,0,0
2015-10-36,1,1,0,0
2015-10-38,1,1,0,0
2018-56-16,1,1,0,0
2018-56-22,1,1,0,0
2018-56-3,1,1,0,0
2018-56-31,1,1,0,0
2018-56-7,1,1,0,0
2019-32-10,2,2,0,0
2019-32-32,1,1,0,0
2019-32-9,1,1,0,0
2021,2,0,2,0
2025,3,1,1,1
2026,1,0,1,0
208,1,1,0,0
21,15,11,4,0
218,1,1,0,0
22,6,6,0,0
23,6,4,2,0
24,3,3,0,0
25,21,21,0,0
26,9,9,0,0
27,8,4,4,0
28,9,4,4,1
29,9,7,2,0
29.1,8,8,0,0
3,98,71,15,12
3.1,4,4,0,0
30,15,12,3,0
30.1,2,2,0,0
31,7,4,3,0
32,4,2,2,0
33,6,4,2,0
33.1,3,3,0,0
34,9,9,0,0
34.1,8,8,0,0
35,5,4,1,0
35.1,5,5,0,0
36,3,3,0,0
37,2,2,0,0
38,4,4,0,0
39,3,3,0,0
4,54,39,7,8
4.1,11,11,0,0
4.2,3,3,0,0
4.3,2,2,0,0
40,19,19,0,0
41,5,3,1,1
42,4,4,0,0
43,5,5,0,0
434,1,1,0,0
44,8,8,0,0
45,23,23,0,0
46,2,2,0,0
46.3,1,1,0,0
